Grade,COURSE,Domain or Conceptual Theme,Cluster,Standard #,Standard
1,,OA,B,4,"CC.1.OA.4 Understand and apply properties of operations and the relationship between addition and subtraction. Understand subtraction as an unknown-addend problem. For example, subtract 10 – 8 by finding the number that makes 10 when added to 8. "
1,,OA,C,5,"CC.1.OA.5 Add and subtract within 20. Relate counting to addition and subtraction (e.g., by counting on 2 to add 2)."
1,,OA,C,6,"CC.1.OA.6 Add and subtract within 20.  Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13)."
1,,OA,D,7,"CC.1.OA.7 Work with addition and subtraction equations.  Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false. For example, which of the following equations are true and which are false? 6 = 6,  7 = 8 – 1,  5 + 2 = 2 + 5,  4 + 1 = 5 + 2."
1,,OA,D,8,"CC.1.OA.8 Work with addition and subtraction equations. Determine the unknown whole number in an addition or subtraction equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 + ? = 11, 5 = ＿ – 3,  6 + 6 = ＿. "
1,,NBT,A,1,"CC.1.NBT.1 Extend the counting sequence. Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral."
1,,NBT,B,2,"CC.1.NBT.2 Understand place value. Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:
  --  a. 10 can be thought of as a bundle of ten ones — called a “ten.”
  --  b. The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones. 
  --  c. The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones)."
1,,NBT,B,3,"CC.1.NBT.3 Understand place value. Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <. "
1,,NBT,C,4,"CC.1.NBT.4 Use place value understanding and properties of operations to add and subtract. Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten. "
1,,NBT,C,5,"CC.1.NBT.5 Use place value understanding and properties of operations to add and subtract. Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used."
1,,NBT,C,6,"CC.1.NBT.6 Use place value understanding and properties of operations to add and subtract. Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.  "
1,,MD,A,1,CC.1.MD.1 Measure lengths indirectly and by iterating length units. Order three objects by length; compare the lengths of two objects indirectly by using a third object. 
1,,MD,A,2,"CC.1.MD.2 Measure lengths indirectly and by iterating length units. Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps."
1,,MD,B,3,CC.1.MD.3 Tell and write time. Tell and write time in hours and half-hours using analog and digital clocks.
1,,MD,C,4,"CC.1.MD.4 Represent and interpret data. Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another."
1,,G,A,1,"CC.1.G.1 Reason with shapes and their attributes. Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); for a wide variety of shapes; build and draw shapes to possess defining attributes."
1,,G,A,2,"CC.1.G.2 Reason with shapes and their attributes. Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape. (Students do not need to learn formal names such as “right rectangular prism.”)"
1,,G,A,3,"CC.1.G.3 Reason with shapes and their attributes. Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares. "
2,,OA,A,1,"CC.2.OA.1 Represent and solve problems involving addition and subtraction. Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem. "
2,,OA,B,2,"CC.2.OA.2 Add and subtract within 20. Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers. "
2,,OA,C,3,"CC.2.OA.3 Work with equal groups of objects to gain foundations for multiplication. Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
2,,OA,C,4,CC.2.OA.4 Work with equal groups of objects to gain foundations for multiplication. Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
2,,NBT,A,1,"CC.2.NBT.1 Understand place value. Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:
  --  a. 100 can be thought of as a bundle of ten tens — called a “hundred.”
  --  b. The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
2,,NBT,A,2,"CC.2.NBT.2 Understand place value. Count within 1000; skip-count by 5s, 10s, and 100s."
2,,NBT,A,3,"CC.2.NBT.3 Understand place value. Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
2,,NBT,A,4,"CC.2.NBT.4 Understand place value. Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons."
2,,NBT,B,5,"CC.2.NBT.5 Use place value understanding and properties of operations to add and subtract. Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction. "
2,,NBT,B,6,CC.2.NBT.6 Use place value understanding and properties of operations to add and subtract. Add up to four two-digit numbers using strategies based on place value and properties of operations.
2,,NBT,B,7,"CC.2.NBT.7 Use place value understanding and properties of operations to add and subtract. Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds."
2,,NBT,B,8,"CC.2.NBT.8 Use place value understanding and properties of operations to add and subtract. Mentally add 10 or 100 to a given number 100-900, and mentally subtract 10 or 100 from a given number 100-900."
2,,NBT,B,9,"CC.2.NBT.9 Use place value understanding and properties of operations to add and subtract. Explain why addition and subtraction strategies work, using place value and the properties of operations. (Explanations may be supported by drawings or objects.)  "
2,,MD,A,1,"CC.2.MD.1 Measure and estimate lengths in standard units. Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes. "
2,,MD,A,2,"CC.2.MD.2 Measure and estimate lengths in standard units. Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen. "
2,,MD,A,3,"CC.2.MD.3 Measure and estimate lengths in standard units. Estimate lengths using units of inches, feet, centimeters, and meters."
2,,MD,A,4,"CC.2.MD.4 Measure and estimate lengths in standard units. Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
2,,MD,B,5,"CC.2.MD.5 Relate addition and subtraction to length. Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."
2,,MD,B,6,"CC.2.MD.6 Relate addition and subtraction to length.  Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, … , and represent whole-number sums and differences within 100 on a number line diagram. "
2,,MD,C,7,"CC.2.MD.7 Work with time and money. Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m. "
2,,MD,C,8,"CC.2.MD.8 Work with time and money. Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ (dollars) and ¢ (cents) symbols appropriately. Example: If you have 2 dimes and 3 pennies, how many cents do you have? "
2,,MD,D,9,"CC.2.MD.9 Represent and interpret data. Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units."
2,,MD,D,10,"CC.2.MD.10 Represent and interpret data. Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems  using information presented in a bar graph. "
2,,G,A,1,"CC.2.G.1 Reason with shapes and their attributes. Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces.  Identify triangles, quadrilaterals, pentagons, hexagons, and cubes. (Sizes are compared directly or visually, not compared by measuring.)"
2,,G,A,2,CC.2.G.2 Reason with shapes and their attributes. Partition a rectangle into rows and columns of same-size squares and count to find the total number of them. 
2,,G,A,3,"CC.2.G.3 Reason with shapes and their attributes. Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape. "
3,,OA,A,1,"CC.3.OA.1 Represent and solve problems involving multiplication and division. Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7. "
3,,OA,A,2,"CC.3.OA.2 Represent and solve problems involving multiplication and division. Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 ÷ 8."
3,,OA,A,3,"CC.3.OA.3 Represent and solve problems involving multiplication and division. Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem. "
3,,OA,A,4,"CC.3.OA.4 Represent and solve problems involving multiplication and division. Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 × ? = 48,  5 = __÷ 3,  6 × 6 = ?."
3,,OA,A,5,"CC.3.OA.5 Understand properties of multiplication and the relationship between multiplication and division.  Apply properties of operations as strategies to multiply and divide.   Examples: If 6 × 4 = 24 is known, then 4 × 6 = 24 is also known. (Commutative property of multiplication.) 3 × 5 × 2 can be found by 3 × 5 = 15 then 15 × 2 = 30, or by 5 × 2 = 10 then 3 × 10 = 30. (Associative property of multiplication.) Knowing that 8 × 5 = 40 and 8 × 2 = 16, one can find 8 × 7 as 8 × (5 + 2) = (8 × 5) + (8 × 2) = 40 + 16 = 56. (Distributive property.) (Students need not use formal terms for these properties.)"
3,,OA,B,6,"CC.3.OA.6 Understand properties of multiplication and the relationship between multiplication and division.  Understand division as an unknown-factor problem. For example, divide 32 ÷ 8 by finding the number that makes 32 when multiplied by 8. "
3,,OA,C,7,"CC.3.OA.7 Multiply and divide within 100. Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of one-digit numbers."
3,,OA,D,8,"CC.3.OA.8 Solve problems involving the four operations, and identify and explain patterns in arithmetic. Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding. (This standard is limited to problems posed with whole numbers and having whole-number answers; students should know how to perform operations in the conventional order when there are no parentheses to specify a particular order (Order of Operations).)"
3,,OA,D,9,"CC.3.OA.9 Solve problems involving the four operations, and identify and explain patterns in arithmetic.  Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends.   "
3,,NBT,A,1,CC.3.NBT.1 Use place value understanding and properties of operations to perform multi-digit arithmetic.  Use place value understanding to round whole numbers to the nearest 10 or 100.
3,,NBT,A,2,"CC.3.NBT.2 Use place value understanding and properties of operations to perform multi-digit arithmetic. Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction. (A range of algorithms may be used.)"
3,,NBT,A,3,"CC.3.NBT.3 Use place value understanding and properties of operations to perform multi-digit arithmetic. Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations. (A range of algorithms may be used.)"
3,,NF,A,1,"CC.3.NF.1 Develop understanding of fractions as numbers. Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,2,"CC.3.NF.2 Develop understanding of fractions as numbers. Understand a fraction as a number on the number line; represent fractions on a number line diagram.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,2a,"CC.3.NF.2a Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,2b,"CC.3.NF.2b Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,3,"CC.3.NF.3 Develop understanding of fractions as numbers. Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,3a,"CC.3.NF.3a Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,3b,"CC.3.NF.3b Recognize and generate simple equivalent fractions (e.g., 1/2 = 2/4, 4/6 = 2/3), Explain why the fractions are equivalent, e.g., by using a visual fraction model. (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,3c,"CC.3.NF.3c Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,NF,A,3d,"CC.3.NF.3d Compare two fractions with the same numerator or the same denominator, by reasoning about their size, Recognize that valid comparisons rely on the two fractions referring to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.  (Grade 3 expectations in this domain are limited to fractions with denominators 2, 3, 4, 6, and 8.)"
3,,MD,A,1,"CC.3.MD.1 Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects. Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.
"
3,,MD,A,2,"CC.3.MD.2 Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.  Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).  (Excludes compound units such as cm^3 and finding the geometric volume of a container.) Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem. (Excludes multiplicative comparison problems (problems involving notions of “times as much.”)"
3,,MD,B,3,"CC.3.MD.3 Represent and interpret data. Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step “how many more” and “how many less” problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets."
3,,MD,B,4,"CC.3.MD.4 Represent and interpret data. Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units—whole numbers, halves, or quarters."
3,,MD,C,5,"CC.3.MD.5 Geometric measurement: understand concepts of area and relate area to multiplication and to addition. Recognize area as an attribute of plane figures and understand concepts of area measurement.
  --  a. A square with side length 1 unit, called “a unit square,” is said to have “one square unit” of area, and can be used to measure area.
  --  b. A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units. "
3,,MD,C,6,"CC.3.MD.6 Geometric measurement: understand concepts of area and relate area to multiplication and to addition. Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units). "
3,,MD,C,7,CC.3.MD.7 Geometric measurement: understand concepts of area and relate area to multiplication and to addition. Relate area to the operations of multiplication and addition.
3,,MD,C,7a,"CC.3.MD.7a Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
3,,MD,C,7b,"CC.3.MD.7b Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning. "
3,,MD,C,7c,CC.3.MD.7c Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning. 
3,,MD,C,7d,"CC.3.MD.7d Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.    "
3,,MD,D,8,"CC.3.MD.8 Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures. Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different area or with the same area and different perimeter."
3,,G,A,1,"CC.3.G.1 Reason with shapes and their attributes. Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories."
3,,G,A,2,"CC.3.G.2 Reason with shapes and their attributes. Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part is 1/4 of the area of the shape."
4,,OA,A,1,"CC.4.OA.1 Use the four operations with whole numbers to solve problems. Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 x 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations."
4,,OA,A,2,"CC.4.OA.2 Use the four operations with whole numbers to solve problems. Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison. "
4,,OA,A,3,"CC.4.OA.3 Use the four operations with whole numbers to solve problems. Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding."
4,,OA,B,4,CC.4.OA.4 Gain familiarity with factors and multiples. Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.
4,,OA,C,5,"CC.4.OA.5 Generate and analyze patterns. Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule “Add 3” and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way. "
4,,NBT,A,1,"CC.4.NBT.1 Generalize place value understanding for multi-digit whole numbers. Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division.  (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)"
4,,NBT,A,2,"CC.4.NBT.2 Generalize place value understanding for multi-digit whole numbers.  Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.  (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)"
4,,NBT,A,3,"CC.4.NBT.3 Generalize place value understanding for multi-digit whole numbers.  Use place value understanding to round multi-digit whole numbers to any place.  (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000.)"
4,,NBT,B,4,"CC.4.NBT.4 Use place value understanding and properties of operations to perform multi-digit arithmetic.  Fluently add and subtract multi-digit whole numbers using the standard algorithm. (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000. A range of algorithms may be used.)"
4,,NBT,B,5,"CC.4.NBT.5 Use place value understanding and properties of operations to perform multi-digit arithmetic.  Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.  (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000. A range of algorithms may be used.)"
4,,NBT,B,6,"CC.4.NBT.6 Use place value understanding and properties of operations to perform multi-digit arithmetic.  Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.   (Grade 4 expectations in this domain are limited to whole numbers less than or equal to 1,000,000. A range of algorithms may be used.)"
4,,NF,A,1,"CC.4.NF.1 Extend understanding of fraction equivalence and ordering. Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions. (Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100.)"
