 Grade, Strand,Standard #,Synonym,Standard
1,RI,10,,"CC.1.R.I.10 Range of Reading and Level of Text Complexity: With prompting and support, read informational texts appropriately complex for grade 1."
2,RI,1,,"CC.2.R.I.1 Key Ideas and Details: Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
2,RI,2,,CC.2.R.I.2 Key Ideas and Details: Identify the main topic of a multiparagraph text as well as the focus of specific paragraphs within the text.
2,RI,3,,"CC.2.R.I.3 Key Ideas and Details: Describe the connection between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text."
2,RI,4,,CC.2.R.I.4 Craft and Structure: Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.
2,RI,5,,"CC.2.R.I.5 Craft and Structure: Know and use various text features (e.g., captions, bold print, subheadings, glossaries, indexes, electronic menus, icons) to locate key facts or information in a text efficiently."
2,RI,6,,"CC.2.R.I.6 Craft and Structure: Identify the main purpose of a text, including what the author wants to answer, explain, or describe."
2,RI,7,,"CC.2.R.I.7 Integration of Knowledge and Ideas: Explain how specific images (e.g., a diagram showing how a machine works) contribute to and clarify a text."
2,RI,8,,CC.2.R.I.8 Integration of Knowledge and Ideas: Describe how reasons support specific points the author makes in a text.
2,RI,9,,CC.2.R.I.9 Integration of Knowledge and Ideas: Compare and contrast the most important points presented by two texts on the same topic.
2,RI,10,,"CC.2.R.I.10 Range of Reading and Level of Text Complexity: By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 2–3 text complexity band proficiently, with scaffolding as needed at the high end of the range."
3,RI,1,,"CC.3.R.I.1 Key Ideas and Details: Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
3,RI,2,,CC.3.R.I.2 Key Ideas and Details: Determine the main idea of a text; recount the key details and explain how they support the main idea.
3,RI,3,,"CC.3.R.I.3 Key Ideas and Details: Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect."
3,RI,4,,CC.3.R.I.4 Craft and Structure: Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.
3,RI,5,,"CC.3.R.I.5 Craft and Structure: Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently."
3,RI,6,,CC.3.R.I.6 Craft and Structure: Distinguish their own point of view from that of the author of a text.
3,RI,7,,"CC.3.R.I.7 Integration of Knowledge and Ideas: Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur)."
3,RI,8,,"CC.3.R.I.8 Integration of Knowledge and Ideas: Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence)."
3,RI,9,,CC.3.R.I.9 Integration of Knowledge and Ideas: Compare and contrast the most important points and key details presented in two texts on the same topic.
3,RI,10,,"CC.3.R.I.10 Range of Reading and Level of Text Complexity: By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2–3 text complexity band independently and proficiently."
4,RI,1,,CC.4.R.I.1 Key Ideas and Details: Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.
4,RI,2,,CC.4.R.I.2 Key Ideas and Details: Determine the main idea of a text and explain how it is supported by key details; summarize the text.
4,RI,3,,"CC.4.R.I.3 Key Ideas and Details: Explain events, procedures, ideas, or concepts in a historical, scientific, or technical text, including what happened and why, based on specific information in the text."
4,RI,4,,CC.4.R.I.4 Craft and Structure: Determine the meaning of general academic and domain-specific words or phrases in a text relevant to a grade 4 topic or subject area.
4,RI,5,,"CC.4.R.I.5 Craft and Structure: Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text."
4,RI,6,,CC.4.R.I.6 Craft and Structure: Compare and contrast a firsthand and secondhand account of the same event or topic; describe the differences in focus and the information provided.
4,RI,7,,"CC.4.R.I.7 Integration of Knowledge and Ideas: Interpret information presented visually, orally, or quantitatively (e.g., in charts, graphs, diagrams, time lines, animations, or interactive elements on Web pages) and explain how the information contributes to an understanding of the text in which it appears."
4,RI,8,,CC.4.R.I.8 Integration of Knowledge and Ideas: Explain how an author uses reasons and evidence to support particular points in a text.
4,RI,9,,CC.4.R.I.9 Integration of Knowledge and Ideas: Integrate information from two texts on the same topic in order to write or speak about the subject knowledgeably.
4,RI,10,,"CC.4.R.I.10 Range of Reading and Complexity of Text: By the end of year, read and comprehend informational texts, including history/social studies, science, and technical texts, in the grades 4–5 text complexity band proficiently, with scaffolding as necessary at the high end of the range."
5,RI,1,,CC.5.R.I.1 Key Ideas and Details: Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.
5,RI,2,,CC.5.R.I.2 Key Ideas and Details: Determine two or more main ideas of a text and explain how they are supported by key details; summarize the text.
5,RI,3,,"CC.5.R.I.3 Key Ideas and Details: Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, or technical text based on specific information in the text."
5,RI,4,,CC.5.R.I.4 Craft and Structure: Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 5 topic or subject area.
5,RI,5,,"CC.5.R.I.5 Craft and Structure: Compare and contrast the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in two or more texts."
5,RI,6,,"CC.5.R.I.6 Craft and Structure: Analyze multiple accounts of the same event or topic, noting important similarities and differences in the point of view they represent."
5,RI,7,,"CC.5.R.I.7 Integration of Knowledge and Ideas: Draw on information from multiple print or digital sources, demonstrating the ability to locate an answer to a question quickly or to solve a problem efficiently."
5,RI,8,,"CC.5.R.I.8 Integration of Knowledge and Ideas: Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point(s)."
5,RI,9,,CC.5.R.I.9 Integration of Knowledge and Ideas: Integrate information from several texts on the same topic in order to write or speak about the subject knowledgeably.
5,RI,10,,"CC.5.R.I.10 Range of Reading and Complexity of Text: By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 4–5 text complexity band independently and proficiently."
K,RF,1,,CC.K.R.F.1 Print Concepts: Demonstrate understanding of the organization and basic features of print.
K,RF,1.a,,"CC.K.R.F.1.a Print Concepts: Follow words from left to right, top to bottom, and page by page."
K,RF,1.b,,CC.K.R.F.1.b Print Concepts: Recognize that spoken words are represented in written language by specific sequences of letters.
K,RF,1.c,,CC.K.R.F.1.c Print Concepts: Understand that words are separated by spaces in print.
K,RF,1.d,,CC.K.R.F.1.d Print Concepts: Recognize and name all upper- and lowercase letters of the alphabet.
K,RF,2,,"CC.K.R.F.2 Phonological Awareness: Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
K,RF,2.a,,CC.K.R.F.2.a Phonological Awareness: Recognize and produce rhyming words.
K,RF,2.b,,"CC.K.R.F.2.b Phonological Awareness: Count, pronounce, blend, and segment syllables in spoken words."
K,RF,2.c,,CC.K.R.F.2.c Phonological Awareness: Blend and segment onsets and rimes of single-syllable spoken words.
K,RF,2.d,,"CC.K.R.F.2.d Phonological Awareness: d. Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.*(This does not include CVCs ending with /l/, /r/,or /x/.)"
K,RF,2.e,,"CC.K.R.F.2.e Phonological Awareness: Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words."
K,RF,3,,CC.K.R.F.3 Phonics and Word Recognition: Know and apply grade-level phonics and word analysis skills in decoding words.
K,RF,3.a,,CC.K.R.F.3.a Phonics and Word Recognition: Demonstrate basic knowledge of letter-sound correspondences by producing the primary or most frequent sound for each consonant.
K,RF,3.b,,CC.K.R.F.3.b Phonics and Word Recognition: Associate the long and short sounds with the common spellings (graphemes) for the five major vowels.
K,RF,3.c,,"CC.K.R.F.3.c Phonics and Word Recognition: Read common high-frequency words by sight. (e.g., the, of, to, you, she, my, is, are, do, does)."
K,RF,3.d,,CC.K.R.F.3.d Phonics and Word Recognition: Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
K,RF,4,,CC.K.R.F.4 Read emergent-reader texts with purpose and understanding.
1,RF,1,,CC.1.R.F.1 Print Concepts: Demonstrate understanding of the organization and basic features of print.
1,RF,1.a,,"CC.1.R.F.1.a Print Concepts: Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
1,RF,2,,"CC.1.R.F.2 Phonological Awareness: Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
1,RF,2.a,,CC.1.R.F.2.a Phonological Awareness: Distinguish long from short vowel sounds in spoken single-syllable words .
1,RF,2.b,,"CC.1.R.F.2.b Phonological Awareness: Orally produce single-syllable words by blending sounds (phonemes), including consonant blends."
1,RF,2.c,,"CC.1.R.F.2.c Phonological Awareness: Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words."
1,RF,2.d,,CC.1.R.F.2.d Phonological Awareness: Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).
1,RF,3,,CC.1.R.F.3 Phonics and Word Recognition: Know and apply grade-level phonics and word analysis skills in decoding words.
1,RF,3.a,,CC.1.R.F.3.a Phonics and Word Recognition: Know the spelling-sound correspondences for common consonant digraphs (two letters that represent one sound).
1,RF,3.b,,CC.1.R.F.3.b Phonics and Word Recognition: Decode regularly spelled one-syllable words.
1,RF,3.c,,CC.1.R.F.3.c Phonics and Word Recognition: Know final -e and common vowel team conventions for representing long vowel sounds.
1,RF,3.d,,CC.1.R.F.3.d Phonics and Word Recognition: Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.
1,RF,3.e,,CC.1.R.F.3.e Phonics and Word Recognition: Decode two-syllable words following basic patterns by breaking the words into syllables.
1,RF,3.f,,CC.1.R.F.3.f Phonics and Word Recognition: Read words with inflectional endings.
1,RF,3.g,,CC.1.R.F.3.g Phonics and Word Recognition: Recognize and read grade-appropriate irregularly spelled words.
1,RF,4,,CC.1.R.F.4 Read with sufficient accuracy and fluency to support comprehension.
1,RF,4.a,,CC.1.R.F.4.a Read grade-level text with purpose and understanding.
1,RF,4.b,,"CC.1.R.F.4.b Read grade-level text orally with accuracy, appropriate rate, and expression."
1,RF,4.c,,"CC.1.R.F.4.c Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
2,RF,3,,CC.2.R.F.3 Phonics and Word Recognition: Know and apply grade-level phonics and word analysis skills in decoding words.
2,RF,3.a,,CC.2.R.F.3.a Phonics and Word Recognition: Distinguish long and short vowels when reading regularly spelled one-syllable words.
2,RF,3.b,,CC.2.R.F.3.b Phonics and Word Recognition: Know spelling-sound correspondences for additional common vowel teams.
2,RF,3.c,,CC.2.R.F.3.c Phonics and Word Recognition: Decode regularly spelled two-syllable words with long vowels.
2,RF,3.d,,CC.2.R.F.3.d Phonics and Word Recognition: Decode words with common prefixes and suffixes.
2,RF,3.e,,CC.2.R.F.3.e Phonics and Word Recognition: Identify words with inconsistent but common spelling-sound correspondences.
2,RF,3.f,,CC.2.R.F.3.f Phonics and Word Recognition: Recognize and read grade-appropriate irregularly spelled words.
2,RF,4,,CC.2.R.F.4 Read with sufficient accuracy and fluency to support comprehension.
2,RF,4.a,,CC.2.R.F.4.a Read grade-level text with purpose and understanding.
2,RF,4.b,,"CC.2.R.F.4.b Read grade-level text orally with accuracy, appropriate rate, and expression."
2,RF,4.c,,"CC.2.R.F.4.c Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
3,RF,3,,CC.3.R.F.3 Phonics and Word Recognition: Know and apply grade-level phonics and word analysis skills in decoding words.
3,RF,3.a,,CC.3.R.F.3.a Phonics and Word Recognition: Identify and know the meaning of the most common prefixes and derivational suffixes.
3,RF,3.b,,CC.3.R.F.3.b Phonics and Word Recognition: Decode words with common Latin suffixes.
3,RF,3.c,,CC.3.R.F.3.c Phonics and Word Recognition: Decode multisyllable words.
3,RF,3.d,,CC.3.R.F.3.d Phonics and Word Recognition: Read grade-appropriate irregularly spelled words.
3,RF,4,,CC.3.R.F.4 Fluency: Read with sufficient accuracy and fluency to support comprehension.
3,RF,4.a,,CC.3.R.F.4.a Fluency: Read grade-level text with purpose and understanding.
3,RF,4.b,,"CC.3.R.F.4.b Fluency: Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression."
3,RF,4.c,,"CC.3.R.F.4.c Fluency: Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
4,RF,3,,CC.4.R.F.3 Phonics and Word Recognition: Know and apply grade-level phonics and word analysis skills in decoding words.
4,RF,3.a,,"CC.4.R.F.3.a Phonics and Word Recognition: Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context. "
4,RF,4,,CC.4.R.F.4 Fluency: Read with sufficient accuracy and fluency to support comprehension.
4,RF,4.a,,CC.4.R.F.4.a Fluency: Read grade-level text with purpose and understanding.
4,RF,4.b,,"CC.4.R.F.4.b Fluency: Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression."
4,RF,4.c,,"CC.4.R.F.4.c Fluency: Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
5,RF,3,,CC.5.R.F.3 Phonics and Word Recognition: Know and apply grade-level phonics and word analysis skills in decoding words.
5,RF,3.a,,"CC.5.R.F.3.a Phonics and Word Recognition: Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context. "
5,RF,4,,CC.5.R.F.4 Fluency: Read with sufficient accuracy and fluency to support comprehension.
5,RF,4.a,,CC.5.R.F.4.a Fluency: Read grade-level text with purpose and understanding.
5,RF,4.b,,"CC.5.R.F.4.b Fluency: Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression."
5,RF,4.c,,"CC.5.R.F.4.c Fluency: Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
K,W,1,,"CC.K.W.1 Text Types and Purposes: Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is . . .)."
K,W,2,,"CC.K.W.2 Text Types and Purposes: Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic."
K,W,3,,"CC.K.W.3 Text Types and Purposes: Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened."
K,W,5,,"CC.K.W.5 Production and Distribution of Writing: With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed."
K,W,6,,"CC.K.W.6 Production and Distribution of Writing: With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers."
K,W,7,,"CC.K.W.7 Research to Build and Present Knowledge: Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them)."
K,W,8,,"CC.K.W.8 Research to Build and Present Knowledge: With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
1,W,1,,"CC.1.W.1 Text Types and Purposes: Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure. "
1,W,2,,"CC.1.W.2 Text Types and Purposes: Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure. "
1,W,3,,"CC.1.W.3 Text Types and Purposes: Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure. "
1,W,5,,"CC.1.W.5 Production and Distribution of Writing: With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed. "
1,W,6,,"CC.1.W.6 Production and Distribution of Writing: With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
1,W,7,,"CC.1.W.7 Research to Build and Present Knowledge: Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions). "
1,W,8,,"CC.1.W.8 Research to Build and Present Knowledge: With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question. "
2,W,1,,"CC.2.W.1 Text Types and Purposes: Write opinion pieces in which they introduce the topic or book they are writing about, state an opinion, supply reasons that support the opinion, use linking words (e.g., because, and, also) to connect opinion and reasons, and provide a concluding statement or section."
2,W,2,,"CC.2.W.2 Text Types and Purposes: Write informative/explanatory texts in which they introduce a topic, use facts and definitions to develop points, and provide a concluding statement or section."
2,W,3,,"CC.2.W.3 Text Types and Purposes: Write narratives in which they recount a well-elaborated event or short sequence of events, include details to describe actions, thoughts, and feelings, use temporal words to signal event order, and provide a sense of closure."
2,W,5,,"CC.2.W.5 Production and Distribution of Writing: With guidance and support from adults and peers, focus on a topic and strengthen writing as needed by revising and editing. "
2,W,6,,"CC.2.W.6 Production and Distribution of Writing: With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
2,W,7,,"CC.2.W.7 Research to Build and Present Knowledge: Participate in shared research and writing projects (e.g., read a number of books on a single topic to produce a report; record science observations)."
2,W,8,,CC.2.W.8 Research to Build and Present Knowledge: Recall information from experiences or gather information from provided sources to answer a question.
3,W,1,,"CC.3.W.1 Text Types and Purposes: Write opinion pieces on familiar topics or texts, supporting a point of view with reasons."
3,W,1.a,,"CC.3.W.1.a Text Types and Purposes: Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons."
3,W,1.b,,CC.3.W.1.b Text Types and Purposes: Provide reasons that support the opinion.
3,W,1.c,,"CC.3.W.1.c Text Types and Purposes: Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons."
3,W,1.d,,CC.3.W.1.d Text Types and Purposes: Provide a concluding statement or section.
3,W,2,,CC.3.W.2 Text Types and Purposes: Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
3,W,2.a,,CC.3.W.2.a Text Types and Purposes: Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.
